threshold,accuracy,precision,recall,f1_score
0.1,0.12867664991951613,0.08433920328261241,0.9935548841893252,0.15548026160271056
0.15000000000000002,0.19738874526445865,0.08989469794938112,0.980060422960725,0.16468398341653273
0.20000000000000004,0.2765718745427052,0.0971463514064411,0.9599194360523665,0.17643683479870428
0.25000000000000006,0.3594783994276702,0.10631875042879685,0.9363544813695871,0.19095539308305265
0.30000000000000004,0.4390680129424581,0.11582288360476611,0.8966767371601209,0.20514710964679858
0.3500000000000001,0.5139424093133669,0.12713512219928805,0.8559919436052367,0.22138875866020735
0.40000000000000013,0.5842316634960896,0.14020812962704288,0.8086606243705942,0.23898098270884793
0.45000000000000007,0.6481472448498448,0.15497620525553488,0.7542799597180262,0.2571232406453828
0.5000000000000001,0.704339625709315,0.17082524030081178,0.6908358509566969,0.2739179044881009
0.5500000000000002,0.7554103051883648,0.19108631682197155,0.6277945619335348,0.29299243314377027
0.6000000000000002,0.7979773344389705,0.21071816348689312,0.5472306143001007,0.30427235567500976
0.6500000000000001,0.834658471944458,0.2359447939922874,0.46827794561933533,0.3137863553546123
0.7000000000000002,0.8641692275173569,0.2642926693559605,0.3826787512588117,0.3126542701991114
0.7500000000000002,0.8861681543989725,0.29096509240246404,0.2853977844914401,0.28815455007625823
0.8000000000000002,0.9029478236833975,0.3304054054054054,0.19697885196374623,0.24681388012618297
0.8500000000000002,0.9135001544640099,0.38221632382216325,0.11601208459214502,0.17799752781211373
0.9000000000000002,0.9187844495390469,0.4704724409448819,0.04813695871097684,0.08733784030696146
